Timestamp,Name,Roll Number,Email,Mess Chosen,Date,Type of Complaint,Description of the Issue
03/04/2025 09:34:07,Arjun Sharma,241IT24,arjunsharma.241it24@nitk.edu.in,Mega mess,02/27/2025,Timing/Availability,Limited dessert options; only served occasionally.
03/04/2025 09:34:07,Rahul Singh,221CE36,rahulsingh.221ce36@nitk.edu.in,Block IV(Satpura),02/10/2025,Food Quality,The mess menu needs more variety.
03/04/2025 09:34:07,Rahul Verma,241EC31,rahulverma.241ec31@nitk.edu.in,Block II(Aravali),02/07/2025,Service,Some items are served cold instead of hot.
03/04/2025 09:34:07,Manoj Verma,241CY11,manojverma.241cy11@nitk.edu.in,Mega mess,01/13/2025,Food Quantity,Serving portions are inconsistent for different students.
03/04/2025 09:34:07,Karthik Singh,241CS28,karthiksingh.241cs28@nitk.edu.in,Block V(Nilgiri),02/17/2025,Service,Spoons and forks are often missing from the counter.
03/04/2025 09:34:07,Arjun Verma,241CS11,arjunverma.241cs11@nitk.edu.in,Block VIII(Trishul),02/24/2025,Food Quality,Food is too salty and difficult to eat.
03/04/2025 09:34:07,Rohan Sharma,221CS33,rohansharma.221cs33@nitk.edu.in,Block V(Nilgiri),02/19/2025,Timing/Availability,No alternative food options for students with allergies.
03/04/2025 09:34:07,Harsh Joshi,211CE38,harshjoshi.211ce38@nitk.edu.in,Block IV(Satpura),02/12/2025,Food Quality,The lemon slices in the salad are dry and unusable.
03/04/2025 09:34:07,Manoj Singh,231EC39,manojsingh.231ec39@nitk.edu.in,Block VIII(Trishul),02/19/2025,Food Quality,The chapati has a burnt taste.
03/04/2025 09:34:07,Neha Bose,211CY14,nehabose.211cy14@nitk.edu.in,Girls Block Mess(Annapoorna),01/24/2025,Food Quantity,The quantity of curd is too less.
03/04/2025 09:34:07,Rahul Iyer,231EE33,rahuliyer.231ee33@nitk.edu.in,Block V(Nilgiri),01/20/2025,Food Hygiene,The drinking glasses smell bad.
03/04/2025 09:34:07,Vikram Sharma,221MT12,vikramsharma.221mt12@nitk.edu.in,Block III(Vindhya),01/02/2025,Food Quality,Some vegetables taste bitter and old.
03/04/2025 09:34:07,Manoj Joshi,221IT34,manojjoshi.221it34@nitk.edu.in,Block I(Karavali),02/27/2025,Timing/Availability,Mess timings are not followed properly.
03/04/2025 09:34:07,Sandeep Patel,221MT33,sandeeppatel.221mt33@nitk.edu.in,Block III(Vindhya),01/18/2025,Food Hygiene,Found a broken piece of glass in my food.
03/04/2025 09:34:07,Arjun Sharma,241EE31,arjunsharma.241ee31@nitk.edu.in,Block II(Aravali),02/06/2025,Timing/Availability,Mess timings are not followed properly.
03/04/2025 09:34:07,Harsh Iyer,231AI36,harshiyer.231ai36@nitk.edu.in,Block IV(Satpura),01/09/2025,Food Quality,Some vegetables taste bitter and old.
03/04/2025 09:34:07,Vikram Joshi,231CE24,vikramjoshi.231ce24@nitk.edu.in,Block VIII(Trishul),02/03/2025,Food Quality,The quality of rice is poor; contains stones.
03/04/2025 09:34:07,Rahul Reddy,231CY31,rahulreddy.231cy31@nitk.edu.in,Block I(Karavali),02/26/2025,Food Quality,"The food has an odd smell, possibly stale."
03/04/2025 09:34:07,Nitin Pillai,221IT13,nitinpillai.221it13@nitk.edu.in,Block V(Nilgiri),01/15/2025,Food Quantity,Serving size is too small for some dishes.
03/04/2025 09:34:07,Harsh Iyer,231EC12,harshiyer.231ec12@nitk.edu.in,Mega mess,01/28/2025,Timing/Availability,Some items run out before all students are served.
03/04/2025 09:34:07,Vikram Iyer,221ME31,vikramiyer.221me31@nitk.edu.in,Block IV(Satpura),02/23/2025,Food Quality,The quality of pickles is poor.
03/04/2025 09:34:07,Amit Joshi,241ME25,amitjoshi.241me25@nitk.edu.in,Block VII(Sahyadri),02/07/2025,Food Quality,The rice has an unpleasant chemical smell.
03/04/2025 09:34:07,Vikram Yadav,211CE18,vikramyadav.211ce18@nitk.edu.in,Block IV(Satpura),03/02/2025,Food Quality,Food trays are often sticky and unclean.
03/04/2025 09:34:07,Amit Yadav,211EC31,amityadav.211ec31@nitk.edu.in,Block I(Karavali),03/02/2025,Food Quality,The chapati has a burnt taste.
03/04/2025 09:34:07,Priya Dutta,231EE35,priyadutta.231ee35@nitk.edu.in,Girls Block Mess(Annapoorna),01/30/2025,Food Hygiene,Serving spoons are unclean and sticky.
03/04/2025 09:34:07,Rahul Sharma,241CV39,rahulsharma.241cv39@nitk.edu.in,Block VIII(Trishul),01/16/2025,Food Quality,The rice is always overcooked and sticky.
03/04/2025 09:34:07,Manoj Sharma,221AI22,manojsharma.221ai22@nitk.edu.in,Block V(Nilgiri),02/12/2025,Timing/Availability,Butter is often unavailable for roti.
03/04/2025 09:34:07,Rahul Reddy,241ME37,rahulreddy.241me37@nitk.edu.in,Block VII(Sahyadri),01/26/2025,Food Hygiene,Some utensils have rust stains on them.
03/04/2025 09:34:07,Sandeep Pillai,231CY11,sandeeppillai.231cy11@nitk.edu.in,Mega mess,02/24/2025,Food Quantity,The quantity of vegetables is not sufficient.
03/04/2025 09:34:07,Rohan Sharma,231ME14,rohansharma.231me14@nitk.edu.in,Block VII(Sahyadri),02/03/2025,Food Quality,The quality of rice is poor; contains stones.
03/04/2025 09:34:07,Rahul Patel,231IT35,rahulpatel.231it35@nitk.edu.in,Block VIII(Trishul),02/13/2025,Food Quality,The sabzi is too oily and spicy.
03/04/2025 09:34:07,Sandeep Desai,221ME28,sandeepdesai.221me28@nitk.edu.in,Block IV(Satpura),01/13/2025,Timing/Availability,The lemon slices in the salad are dry and unusable.
03/04/2025 09:34:07,Rahul Verma,221CE23,rahulverma.221ce23@nitk.edu.in,Block V(Nilgiri),02/16/2025,Food Hygiene,The salad is not washed properly.
03/04/2025 09:34:07,Vikram Verma,241CV36,vikramverma.241cv36@nitk.edu.in,Block I(Karavali),02/01/2025,Food Quality,"Roti is not properly cooked, some are half-baked."
03/04/2025 09:34:07,Arjun Patel,231MT37,arjunpatel.231mt37@nitk.edu.in,Block III(Vindhya),01/23/2025,Service,Sometimes food is served too late.
03/04/2025 09:34:07,Amit Desai,231MT33,amitdesai.231mt33@nitk.edu.in,Block I(Karavali),01/13/2025,Food Hygiene,The floor is always wet and slippery.
03/04/2025 09:34:07,Karthik Verma,231AI21,karthikverma.231ai21@nitk.edu.in,Block V(Nilgiri),01/26/2025,Food Hygiene,Serving spoons are unclean and sticky.
03/04/2025 09:34:07,Rahul Iyer,211AI27,rahuliyer.211ai27@nitk.edu.in,Block IV(Satpura),02/16/2025,Food Quality,Food is too salty and difficult to eat.
03/04/2025 09:34:07,Rahul Singh,211CS29,rahulsingh.211cs29@nitk.edu.in,Block VIII(Trishul),01/02/2025,Food Quality,The cut fruits are not stored properly.
03/04/2025 09:34:07,Amit Pillai,221AI14,amitpillai.221ai14@nitk.edu.in,Block IV(Satpura),01/19/2025,Food Hygiene,The handwashing area is dirty and unhygienic.
03/04/2025 09:34:07,Harsh Yadav,211EE37,harshyadav.211ee37@nitk.edu.in,Block III(Vindhya),03/01/2025,Food Quantity,The paneer dishes barely contain any paneer.
03/04/2025 09:34:07,Manoj Verma,231CV24,manojverma.231cv24@nitk.edu.in,Block III(Vindhya),02/02/2025,Food Hygiene,Cutlery and plates are not properly washed.
03/04/2025 09:34:07,Arjun Yadav,211MT34,arjunyadav.211mt34@nitk.edu.in,Block V(Nilgiri),02/14/2025,Service,Spoons and forks are often missing from the counter.
03/04/2025 09:34:07,Harsh Verma,211CY15,harshverma.211cy15@nitk.edu.in,Mega mess,02/20/2025,Food Quality,The chapati has a burnt taste.
03/04/2025 09:34:07,Rahul Singh,221CS37,rahulsingh.221cs37@nitk.edu.in,Block VII(Sahyadri),02/22/2025,Food Quality,The food served is inconsistent in quality.
03/04/2025 09:34:07,Rohan Verma,211CV17,rohanverma.211cv17@nitk.edu.in,Block VIII(Trishul),01/26/2025,Timing/Availability,Some items run out before all students are served.
03/04/2025 09:34:07,Harsh Desai,211CS39,harshdesai.211cs39@nitk.edu.in,Block IV(Satpura),02/02/2025,Food Quality,The tea tastes very diluted and bland.
03/04/2025 09:34:07,Vikram Yadav,231CY22,vikramyadav.231cy22@nitk.edu.in,Block I(Karavali),01/03/2025,Food Quality,The cut fruits are not stored properly.
03/04/2025 09:34:07,Karthik Desai,221CV29,karthikdesai.221cv29@nitk.edu.in,Block VII(Sahyadri),01/01/2025,Food Hygiene,The floor is always wet and slippery.
03/04/2025 09:34:07,Sandeep Singh,231ME26,sandeepsingh.231me26@nitk.edu.in,Block VII(Sahyadri),02/04/2025,Food Quality,Food is too salty and difficult to eat.
03/04/2025 09:34:07,Karthik Reddy,231CS32,karthikreddy.231cs32@nitk.edu.in,Block II(Aravali),01/08/2025,Food Hygiene,Found an eggshell piece in the curry.
03/04/2025 09:34:07,Rahul Patel,221CV41,rahulpatel.221cv41@nitk.edu.in,Block V(Nilgiri),01/07/2025,Food Quality,The sabzi is too oily and spicy.
03/04/2025 09:34:07,Karthik Patel,241EE21,karthikpatel.241ee21@nitk.edu.in,Mega mess,01/03/2025,Timing/Availability,Mess timings are not followed properly.
03/04/2025 09:34:07,Amit Singh,241EC23,amitsingh.241ec23@nitk.edu.in,Block II(Aravali),02/24/2025,Food Quality,No sugar-free options available for diabetics.
03/04/2025 09:34:07,Nitin Sharma,241CS31,nitinsharma.241cs31@nitk.edu.in,Block II(Aravali),02/06/2025,Service,The mess hall is too crowded during peak hours.
03/04/2025 09:34:07,Arjun Verma,231CY26,arjunverma.231cy26@nitk.edu.in,Block III(Vindhya),03/02/2025,Food Quantity,Serving size is too small for some dishes.
03/04/2025 09:34:07,Manoj Sharma,241EE22,manojsharma.241ee22@nitk.edu.in,Block V(Nilgiri),01/24/2025,Food Hygiene,The salad is not washed properly.
03/04/2025 09:34:07,Vikram Sharma,231IT12,vikramsharma.231it12@nitk.edu.in,Block IV(Satpura),02/11/2025,Food Quality,"Roti is not properly cooked, some are half-baked."
03/04/2025 09:34:07,Sanya Yadav,211IT11,sanyayadav.211it11@nitk.edu.in,Girls Block Mess(Annapoorna),01/03/2025,Food Quality,"Roti is not properly cooked, some are half-baked."
03/04/2025 09:34:07,Rohan Patel,211CY16,rohanpatel.211cy16@nitk.edu.in,Block VIII(Trishul),01/12/2025,Service,"No proper queue system, leading to crowding."
03/04/2025 09:34:07,Arjun Reddy,221EE21,arjunreddy.221ee21@nitk.edu.in,Block VIII(Trishul),02/02/2025,Food Quality,"The salad is not fresh, leaves are wilted."
03/04/2025 09:34:07,Karthik Reddy,211EC37,karthikreddy.211ec37@nitk.edu.in,Block I(Karavali),02/28/2025,Food Quantity,Some food items are served in excessive quantities and wasted.
03/04/2025 09:34:07,Sandeep Reddy,221EE18,sandeepreddy.221ee18@nitk.edu.in,Block IV(Satpura),01/03/2025,Food Hygiene,Found an insect in the dal.
03/04/2025 09:34:07,Sandeep Patel,231CV18,sandeeppatel.231cv18@nitk.edu.in,Block I(Karavali),02/10/2025,Food Quality,Food trays are often sticky and unclean.
03/04/2025 09:34:07,Divya Sharma,241ME29,divyasharma.241me29@nitk.edu.in,Girls Block Mess(Annapoorna),02/01/2025,Food Hygiene,Found a piece of metal in the chapati.
03/04/2025 09:34:07,Manoj Sharma,221EE17,manojsharma.221ee17@nitk.edu.in,Block IV(Satpura),01/23/2025,Food Quantity,Serving portions are inconsistent for different students.
03/04/2025 09:34:07,Amit Sharma,231CY19,amitsharma.231cy19@nitk.edu.in,Block VIII(Trishul),02/18/2025,Food Quantity,The quantity of vegetables is not sufficient.
03/04/2025 09:34:07,Karthik Singh,221EC24,karthiksingh.221ec24@nitk.edu.in,Block VII(Sahyadri),02/12/2025,Food Quantity,Serving portions are inconsistent for different students.
03/04/2025 09:34:07,Pooja Nair,231CS24,poojanair.231cs24@nitk.edu.in,Girls Block Mess(Annapoorna),01/08/2025,Timing/Availability,Mess timings are not followed properly.
03/04/2025 09:34:07,Vikram Pillai,231CY35,vikrampillai.231cy35@nitk.edu.in,Block III(Vindhya),02/05/2025,Service,No proper labeling of dishes for vegetarians.
