Timestamp,Name,Roll Number,Email,Mess Chosen,Date,Type of Complaint,Description of the Issue
03/05/2025 08:12:23,Priya Patel,241IT01,priyapatel.241it01@nitk.edu.in,Block II(Aravali),03/01/2025,Food Quality,Rice is undercooked and hard to chew.
03/05/2025 08:15:42,Ankit Kumar,221ME14,ankitkumar.221me14@nitk.edu.in,Mega mess,03/02/2025,Food Quantity,Curd is too less.
03/05/2025 09:03:18,Aisha Khan,241EC12,aishakhan.241ec12@nitk.edu.in,Block VIII(Trishul),03/01/2025,Food Hygiene,Food is not hygiene.
03/05/2025 08:23:19,Divya Sharma,241CS07,divyasharma.241cs07@nitk.edu.in,Block V(Nilgiri),03/01/2025,Service,Staff refuses to replace spoiled food items when reported.
03/05/2025 08:29:54,Vikram Reddy,231EE22,vikramreddy.231ee22@nitk.edu.in,Block VIII(Trishul),03/02/2025,Timing/Availability,Breakfast timing too early for students with 9 AM classes.
03/05/2025 08:34:37,Neha Gupta,221BT09,nehagupta.221bt09@nitk.edu.in,Block IV(Satpura),03/01/2025,Food Quantity,Protein options like paneer and chicken have very small portions.
03/05/2025 08:41:12,Sanjay Iyer,241CE18,sanjayiyer.241ce18@nitk.edu.in,Mega mess,03/02/2025,Food Hygiene,Plates and glasses have white residue after washing.
03/05/2025 08:47:29,Meera Joshi,221CS41,meerajoshi.221cs41@nitk.edu.in,Block II(Aravali),03/01/2025,Service,Counter staff are rude when asking for extra servings.
03/05/2025 08:55:46,Ravi Chand,231ME05,ravichand.231me05@nitk.edu.in,Block V(Nilgiri),03/02/2025,Timing/Availability,Late night study snacks not available after 11 PM.
03/05/2025 09:03:18,Aisha Khan,241EC12,aishakhan.241ec12@nitk.edu.in,Block VIII(Trishul),03/01/2025,Food Quality,Vegetables in the curry are overcooked and mushy.
03/05/2025 09:07:52,Prakash Singh,221IT33,prakashsingh.221it33@nitk.edu.in,Block IV(Satpura),03/02/2025,Food Quantity,Breakfast portion of upma is too small to sustain until lunch.
03/05/2025 09:14:25,Sneha Reddy,241CS19,snehareddy.241cs19@nitk.edu.in,Mega mess,03/03/2025,Food Hygiene,Cockroach spotted near the serving counter.
03/05/2025 09:21:39,Karan Mehta,231CE27,karanmehta.231ce27@nitk.edu.in,Block II(Aravali),03/03/2025,Service,Serving staff not wearing gloves while handling food.
03/05/2025 09:28:04,Tanvi Das,221EC08,tanvidas.221ec08@nitk.edu.in,Block V(Nilgiri),03/03/2025,Timing/Availability,Mess closes too early on weekends (7 PM instead of 8:30 PM).
03/05/2025 09:33:47,Aryan Kapoor,241ME11,aryankapoor.241me11@nitk.edu.in,Block VIII(Trishul),03/03/2025,Food Quality,Too much oil floating in the curry dishes.
03/05/2025 09:41:23,Leela Nair,231IT16,leelanair.231it16@nitk.edu.in,Block IV(Satpura),03/03/2025,Food Quantity,Fruit servings are just one small piece per student.
03/05/2025 09:47:58,Varun Malhotra,241BT05,varunmalhotra.241bt05@nitk.edu.in,Mega mess,03/04/2025,Food Hygiene,Flies buzzing around salad counter.
03/05/2025 09:53:16,Jaya Prasad,221ME22,jayaprasad.221me22@nitk.edu.in,Block II(Aravali),03/04/2025,Service,Dirty tables not cleared between student seatings.
03/05/2025 10:01:34,Neeraj Kumar,231CS13,neerajkumar.231cs13@nitk.edu.in,Block V(Nilgiri),03/04/2025,Timing/Availability,Special items like dosa finished before all students can be served.
03/05/2025 10:08:47,Kavita Sharma,241EC24,kavitasharma.241ec24@nitk.edu.in,Block VIII(Trishul),03/04/2025,Food Quality,Chapatis are too thick and undercooked in the center.
03/05/2025 10:15:29,Rohan Patel,221CE15,rohanpatel.221ce15@nitk.edu.in,Block IV(Satpura),03/04/2025,Food Quantity,Inadequate number of chapatis allowed per student (only 2).
03/05/2025 10:22:43,Naveen Reddy,241IT07,naveenreddy.241it07@nitk.edu.in,Mega mess,03/05/2025,Food Hygiene,Food containers left open exposing food to dust.
03/05/2025 10:29:58,Monica Singh,231CS31,monicasingh.231cs31@nitk.edu.in,Block II(Aravali),03/05/2025,Service,Long waiting time at the counter during peak hours.
03/05/2025 10:37:15,Deepak Verma,221EC19,deepakverma.221ec19@nitk.edu.in,Block V(Nilgiri),03/05/2025,Timing/Availability,No food available for students returning from late labs.
03/05/2025 10:44:32,Priyanka Das,241ME03,priyankadas.241me03@nitk.edu.in,Block VIII(Trishul),03/05/2025,Food Quality,Milk served for breakfast has a strange smell.
03/05/2025 10:51:49,Siddharth Roy,231BT26,siddharthroy.231bt26@nitk.edu.in,Block IV(Satpura),03/05/2025,Food Quantity,Dessert portions are too small compared to other messes.
03/06/2025 08:05:21,Aditi Gupta,241CS22,aditigupta.241cs22@nitk.edu.in,Mega mess,03/01/2025,Food Hygiene,Serving spoons placed directly on dirty counter between uses.
03/06/2025 08:12:35,Rajesh Sharma,221IT17,rajeshsharma.221it17@nitk.edu.in,Block II(Aravali),03/01/2025,Service,No system for orderly queuing during rush hours.
03/06/2025 08:19:44,Anjali Nair,231CE09,anjalinair.231ce09@nitk.edu.in,Block V(Nilgiri),03/01/2025,Timing/Availability,Fruit juices only available on weekends but not weekdays.
03/06/2025 08:26:58,Vijay Kumar,241EC13,vijaykumar.241ec13@nitk.edu.in,Block VIII(Trishul),03/01/2025,Food Quality,Curry dishes taste identical regardless of what vegetable is used.
03/06/2025 08:33:17,Pooja Iyer,221ME28,poojaiyer.221me28@nitk.edu.in,Block IV(Satpura),03/01/2025,Food Quantity,Salad portion is just a tiny saucer with two cucumber slices.
03/06/2025 08:41:29,Dev Patel,231IT02,devpatel.231it02@nitk.edu.in,Mega mess,03/02/2025,Food Hygiene,Kitchen staff seen handling food without hairnets.
03/06/2025 08:48:43,Anika Reddy,241CS36,anikareddy.241cs36@nitk.edu.in,Block II(Aravali),03/02/2025,Service,Water coolers not refilled regularly during meal times.
03/06/2025 08:55:57,Rohit Kapoor,221EC41,rohitkapoor.221ec41@nitk.edu.in,Block V(Nilgiri),03/02/2025,Timing/Availability,Sunday breakfast starts too late at 9 AM.
03/06/2025 09:02:16,Shreya Joshi,231ME17,shreyajoshi.231me17@nitk.edu.in,Block VIII(Trishul),03/02/2025,Food Quality,The idlis served are too dense and taste sour.
03/06/2025 09:09:35,Arjun Das,241CE04,arjundas.241ce04@nitk.edu.in,Block IV(Satpura),03/02/2025,Food Quantity,Rice serving is reduced after first round of students.
03/06/2025 09:16:49,Neelam Singh,221IT25,neelamsingh.221it25@nitk.edu.in,Mega mess,03/03/2025,Food Hygiene,Food dropped on serving counter is put back into containers.
03/06/2025 09:24:08,Vikas Nair,231CS19,vikasnair.231cs19@nitk.edu.in,Block II(Aravali),03/03/2025,Service,No system to accommodate students with classes during serving hours.
03/06/2025 09:31:22,Meenakshi Kumar,241EC28,meenakshikumar.241ec28@nitk.edu.in,Block V(Nilgiri),03/03/2025,Timing/Availability,Coffee/tea available only during fixed hours.
03/06/2025 09:38:36,Aman Sharma,221ME36,amansharma.221me36@nitk.edu.in,Block VIII(Trishul),03/03/2025,Food Quality,Curd served is often sour and not fresh.
03/06/2025 09:45:50,Sonia Kapoor,231BT11,soniakapoor.231bt11@nitk.edu.in,Block IV(Satpura),03/03/2025,Food Quantity,Non-vegetarian dishes have more gravy than actual meat content.
03/06/2025 09:53:04,Aryan Gupta,241IT19,aryangupta.241it19@nitk.edu.in,Mega mess,03/04/2025,Food Hygiene,Same oil is reused for frying for multiple days.
03/06/2025 10:00:18,Radhika Sharma,221CS23,radhikasharma.221cs23@nitk.edu.in,Block II(Aravali),03/04/2025,Service,No proper system to register complaints about food issues.
03/06/2025 10:07:32,Pankaj Reddy,231CE33,pankajreddy.231ce33@nitk.edu.in,Block V(Nilgiri),03/04/2025,Timing/Availability,Weekend dinner starts too early at 6 PM.
03/06/2025 10:14:46,Divya Kumar,241ME21,divyakumar.241me21@nitk.edu.in,Block VIII(Trishul),03/04/2025,Food Quality,Sambar tastes watery with minimal vegetables.
